approach,n,m,time
FAD-SIMD-ad trait-Rust,800,1,0.00125168587
FAD-ad trait-Rust,850,1,0.02011551833
RAD-ad trait-Rust,850,1,0.0001342127
FAD-SIMD-ad trait-Rust,850,1,0.00130097987
FAD-ad trait-Rust,900,1,0.02100755578
RAD-ad trait-Rust,900,1,0.00013078955
FAD-SIMD-ad trait-Rust,900,1,0.001386548
FAD-ad trait-Rust,950,1,0.02259016618
RAD-ad trait-Rust,950,1,0.00013710955
FAD-SIMD-ad trait-Rust,950,1,0.00143711889
FAD-ad trait-Rust,1000,1,0.02361632042
RAD-ad trait-Rust,1000,1,0.00014787638
FAD-SIMD-ad trait-Rust,1000,1,0.00145026954
